Student_ID,Gender,Parental_Education,Lunch_Type,Test_Prep,Extracurricular,Internet_Access,Study_Hours_Per_Day,Attendance_Percentage,Sleep_Hours,Math_Score,Reading_Score,Writing_Score,Average_Score,Result,Grade
1000,Female,High School,Standard,None,No,Yes,3.7,82.8,6.4,77.2,74.1,62.4,71.2,Pass,B
1001,Female,Some College,Free/Reduced,Completed,No,No,0.9,85.7,6.4,69.6,72.4,60.3,67.4,Pass,C
1002,Male,Some College,Standard,Completed,No,Yes,4.2,89.2,6.3,58.0,75.1,69.8,67.6,Pass,C
1003,Female,Bachelor's,Standard,None,Yes,Yes,4.0,67.9,4.5,89.6,80.7,70.9,80.4,Pass,A
1004,Male,Bachelor's,Free/Reduced,None,No,Yes,6.2,100.0,9.4,87.9,87.8,76.7,84.1,Pass,A
1005,Male,Bachelor's,Standard,Completed,Yes,Yes,4.6,76.4,6.1,62.2,82.3,77.0,73.8,Pass,B
1006,Male,High School,Free/Reduced,None,Yes,No,2.5,77.1,5.0,41.6,45.2,50.1,45.6,Pass,E
1007,Male,Bachelor's,Standard,Completed,No,Yes,3.8,100.0,7.7,98.0,96.9,91.5,95.5,Pass,A
1008,Female,Associate's,Standard,None,Yes,Yes,5.6,80.1,5.0,96.2,100.0,91.1,95.8,Pass,A
1009,Male,Associate's,Standard,None,No,No,4.4,77.2,6.1,58.9,74.6,68.0,67.2,Pass,C
1010,Male,High School,Standard,None,Yes,Yes,0.0,77.5,8.5,61.3,60.8,41.4,54.5,Pass,D
1011,Male,Some College,Standard,Completed,No,No,5.0,84.2,7.8,87.7,94.3,85.2,89.1,Pass,A
1012,Female,Associate's,Standard,None,No,Yes,3.0,74.3,5.8,72.1,85.0,71.9,76.4,Pass,B
1013,Male,Bachelor's,Standard,Completed,Yes,Yes,2.0,72.0,6.0,58.1,68.3,58.4,61.6,Pass,C
1014,Male,High School,Standard,None,No,Yes,3.7,100.0,6.4,88.1,78.3,79.8,82.0,Pass,A
1015,Female,Bachelor's,Free/Reduced,Completed,Yes,Yes,3.5,76.8,7.1,82.5,74.1,74.0,76.9,Pass,B
1016,Female,Master's,Free/Reduced,None,No,No,0.6,90.9,4.2,57.9,57.3,50.9,55.4,Pass,D
1017,Male,High School,Standard,Completed,No,Yes,5.3,94.5,6.7,85.7,91.7,87.3,88.2,Pass,A
1018,Male,Bachelor's,Standard,None,No,Yes,2.1,80.9,8.3,68.0,65.0,50.0,61.0,Pass,C
1019,Female,High School,Standard,None,Yes,Yes,8.4,90.9,6.4,92.9,95.8,94.5,94.4,Pass,A
1020,Female,Bachelor's,Free/Reduced,Completed,No,Yes,6.1,80.1,7.3,89.4,95.6,86.9,90.6,Pass,A
